City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Brusque,BR,70.61,light rain,-27.0981,-48.9175,Monthez Hotel e Eventos
257,Ewa Beach,US,82.85,clear sky,21.3156,-158.0072,Base Lodging
258,Pergamino,AR,73.18,overcast clouds,-33.89,-60.5736,Hotel Fachinat
260,Katobu,ID,75.38,overcast clouds,-4.9408,122.5276,La Ode Husein
263,Fare,PF,77.02,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
265,Sao Joao Da Barra,BR,82.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
268,Hit,IQ,82.49,clear sky,33.6416,42.8251,المعلق حسان رزاق
269,Matara,LK,75.99,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
270,Bo Phloi,TH,71.64,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
271,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
272,Lingig,PH,77.23,heavy intensity rain,8.0389,126.4125,BREXIE INN
277,Beyla,GN,73.2,overcast clouds,8.6833,-8.6333,DIAN SINKO
278,Ratnagiri,IN,78.6,overcast clouds,16.9833,73.3,Hotel Landmark
279,Port Elizabeth,ZA,70.11,broken clouds,-33.918,25.5701,39 On Nile Guest House
280,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
282,Roebourne,AU,72.64,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
284,Anuradhapura,LK,76.48,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
285,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
287,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
291,Ishigaki,JP,73.53,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
297,Dharangaon,IN,77.79,overcast clouds,21.0167,75.2667,मंथन
299,Horizontina,BR,74.17,scattered clouds,-27.6258,-54.3078,Hotel Avenida
300,Mohgaon,IN,70.5,clear sky,21.65,78.7167,Pawan house
302,Victoria,HK,72.32,overcast clouds,22.2855,114.1577,Mini Central
303,Baghdad,IQ,75.11,clear sky,33.3406,44.4009,Baghdad Hotel
308,Gushikawa,JP,72.63,broken clouds,26.3544,127.8686,Kirari Guest House
311,Jacksonville,US,76.05,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
312,Nabire,ID,74.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
313,Rafraf,TN,71.91,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
316,Saint George,US,76.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
317,Kalianget,ID,79.47,heavy intensity rain,-7.05,113.9333,Pesanggrahan Garam
321,Bosaso,SO,80.85,clear sky,11.2842,49.1816,Red Sea Hotel
325,Anage,BR,83.71,overcast clouds,-14.6122,-41.1356,Morada feliz
329,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
331,Loa Janan,ID,74.05,overcast clouds,-0.583,117.095,Kost Garuda
332,Vanimo,PG,77.76,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
340,Shahpura,IN,73.36,clear sky,27.3833,75.9667,Shahpura Haveli
343,Hirara,JP,74.75,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
344,Tutoia,BR,82.98,clear sky,-2.7619,-42.2744,Pousada Guará's
345,Salvador,SV,82.44,broken clouds,13.8333,-88.9167,Chico's Ranch
346,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
347,Immokalee,US,81.97,overcast clouds,26.4187,-81.4173,Seminole Casino Hotel Immokalee
348,Barabai,ID,74.37,heavy intensity rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
351,Gizo,SB,81.21,light rain,-8.103,156.8419,Imagination Island
353,San Policarpo,PH,79.07,overcast clouds,12.1791,125.5072,Agapita M. Nicart
354,Umm Lajj,SA,82.56,clear sky,25.0213,37.2685,Moon light Furnished Units
356,Hobyo,SO,78.37,light rain,5.3505,48.5268,Halane Hotel and Restaurent
359,Omboue,GA,77.58,light rain,-1.5746,9.2618,Hotel Olako
361,Sakakah,SA,81.97,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
362,Ajdabiya,LY,72.28,overcast clouds,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
363,Moranbah,AU,71.94,light rain,-22.0016,148.0466,Property Vine - Monterey Moranbah
365,Mindelo,CV,81.95,broken clouds,16.8901,-24.9804,Hotel Gaudi
366,Kieta,PG,77.77,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
367,Villa Carlos Paz,AR,72.39,overcast clouds,-31.4241,-64.4978,Monte Carlo vcp
373,Dibulla,CO,82.72,moderate rain,11.2725,-73.3091,Hospedaje Dibulla Beach
374,San Quintin,MX,74.7,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
377,Belle Fourche,US,71.51,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
378,Ilhabela,BR,70.61,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
379,Ancud,CL,74.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
384,Sao Filipe,CV,80.94,light rain,14.8961,-24.4956,Hotel Xaguate
385,Kavieng,PG,81.81,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
387,Cognac,FR,72.37,clear sky,45.5,-0.25,Domaine de Pladuc
388,Ternate,ID,81.05,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
391,Ambilobe,MG,71.87,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
401,Sao Joao Batista,BR,71.04,moderate rain,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
402,Kailua,US,82.9,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
403,Auki,SB,77.04,scattered clouds,-8.7676,160.7034,Auki Motel
406,Qinzhou,CN,72.0,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
408,Alugan,PH,78.76,overcast clouds,12.2188,125.4808,JM Lodge
412,Marzuq,YE,71.13,clear sky,14.4,46.4667,حيد القفلة
413,Vaitape,PF,77.4,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
414,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
417,Noumea,NC,75.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
418,Padang,ID,77.77,overcast clouds,-0.9492,100.3543,Mercure Padang
423,Vega De Alatorre,MX,78.22,moderate rain,20.0333,-96.6333,Hotel D Luxe
425,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
428,Chahal,GT,84.63,light rain,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
430,Sohag,EG,77.29,clear sky,26.557,31.6948,Civil Registry - Sohag 1
431,Doha,QA,84.51,clear sky,25.2867,51.5333,Mövenpick Doha
432,Sidhpura,IN,74.43,clear sky,27.6333,78.8833,Taj Hotel
434,Thaton,MM,75.11,scattered clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
437,Gondanglegi,ID,75.36,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
438,Lazaro Cardenas,MX,83.91,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
454,Cascais,PT,70.95,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
461,Pyapon,MM,74.34,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
465,Pacific Grove,US,80.55,clear sky,36.6177,-121.9166,Lovers Point Inn
468,Touros,BR,81.34,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
471,Sehithwa,BW,72.25,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
472,Mahon,ES,72.16,broken clouds,39.8885,4.2658,ARTIEM Capri
473,San Julian,MX,73.09,overcast clouds,21.0167,-102.1667,La Nueva España
474,Porto Belo,BR,71.17,light rain,-27.1578,-48.5531,Costa Verde Beach Hotel
475,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
477,Kinablangan,PH,78.75,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
479,Bull Savanna,JM,81.37,overcast clouds,17.8868,-77.5902,Big Red's
480,Eirunepe,BR,82.4,moderate rain,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
483,Mangrol,IN,80.91,broken clouds,21.1167,70.1167,Hotel The Royal Honours
484,Diu,IN,79.2,scattered clouds,20.7141,70.9822,Hotel Relax Inn
486,Kasungu,MW,72.27,overcast clouds,-13.0333,33.4833,Mame Motel
487,Tautira,PF,76.19,light rain,-17.7333,-149.15,Pension Oaoa
496,Tiradentes,BR,77.41,overcast clouds,-21.1103,-44.1781,Hotel Serra Vista
497,Mitsamiouli,KM,75.7,clear sky,-11.3847,43.2844,Foyer ADM
501,Assiniboia,CA,71.42,few clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
503,Ardakan,IR,73.33,overcast clouds,32.31,54.0175,Ardakan Hotel
504,Kapit,MY,73.4,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
505,Bonthe,SL,79.18,light rain,7.5264,-12.505,Bonthe Holiday Village
507,Natitingou,BJ,77.22,broken clouds,10.3042,1.3796,Cotonou
512,Yenagoa,NG,77.49,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
514,Itaituba,BR,80.76,moderate rain,-4.2761,-55.9836,Hotel Campos
516,Chiplun,IN,74.93,overcast clouds,17.5333,73.5167,Hotel Reemz
518,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
519,Hanumangarh,IN,77.4,clear sky,29.5833,74.3167,SPOT ON 66636 Cps Resorts
526,Bandarbeyla,SO,78.46,light rain,9.4942,50.8122,JABIR HOTEL
528,Muli,MV,81.1,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
529,General Roca,AR,77.63,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
532,Juan Lacaze,UY,70.12,overcast clouds,-34.4342,-57.4381,El templo de Papal
534,Sur,OM,83.03,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
536,Manbij,SY,70.23,clear sky,36.5281,37.9549,Manbej City Hotel
539,Andros Town,BS,82.36,overcast clouds,24.7,-77.7667,Hanks place
544,Axim,GH,77.97,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
551,Mariahu,IN,73.36,clear sky,25.6167,82.6167,THAKUR GATE
554,Samarai,PG,81.61,scattered clouds,-10.6167,150.6667,Nuli Sapi
555,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
558,Mount Pleasant,US,70.09,clear sky,32.7941,-79.8626,Best Western Patriots Point
563,Pucallpa,PE,78.84,light rain,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
566,Gouyave,GD,84.97,light rain,12.1646,-61.7296,Rumboat Retreat
567,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
568,Parrita,CR,80.29,overcast clouds,9.5201,-84.3225,Beso del Viento
575,Kilindoni,TZ,76.64,clear sky,-7.9139,39.6668,Bustani B&B
577,Bambanglipuro,ID,76.73,overcast clouds,-7.95,110.2833,Puri Brata
578,Xuddur,SO,76.5,light rain,4.1213,43.8894,Banjanay Hotel
579,Yanam,IN,77.95,heavy intensity rain,16.7333,82.2167,The Regency Hotel
580,Makakilo City,US,82.44,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
